title,artist,lyrics,rank,last_week,peak_rank,weeks_on_chart,release_year,lyric_length,word_count,top_emotion,top_emotion_score,anger,disgust,fear,joy,neutral,sadness,surprise
Ordinary,Alex Warren,"They say, ""The holy water's watered down And this town's lost its faith Our colors will fade eventually"" So, if our time is runnin' out Day after day We'll make the mundane our masterpiece Oh, my, my Oh, my, my love I take one look at you You're takin' me out of the ordinary I want you layin' me down 'til we're dead and buried On the edge of your knife, stayin' drunk on your vine The angels up in the clouds are jealous knowin' we found Somethin' so out of the ordinary You got me kissin' thе ground of your sanctuary Shatter me with your touch, oh, Lord, return mе to dust The angels up in the clouds are jealous knowin' we found Hopeless hallelujah On this side of Heaven's gate Oh, my life, how do ya Breathe and take my breath away? At your altar, I will pray You're the sculptor, I'm the clay Oh, my, my You're takin' me out of the ordinary I want you layin' me down 'til we're dead and buried On the edge of your knife, stayin' drunk on your vine The angels up in the clouds are jealous knowin' we found Somethin' so out (Out) of the ordinary (Ordinary) You got me kissing the ground (Ground) of your sanctuary (Sanctuary) Shatter me with your touch, oh, Lord, return me to dust The angels up in the clouds are jealous knowin' we found Somethin' so heavenly, higher than ecstasy Whenever you're next to me, oh my, my World was in black and white until I saw your light I thought you had to die to find Somethin' so out of the ordinary I want you laying me down 'til we're dead and buried On the edge of your knife, stayin' drunk on your vine The angels up in the clouds are jealous knowin' we found Somethin' so out (Out) of the ordinary You got me kissing the ground (Ground) of your sanctuary (Sanctuary) Shatter me with your touch, oh Lord, return me to dust The angels up in the clouds are jealous knowin' we found",1,1,1,25,2025,356,352,sadness,0.3546387553215027,0.07903800159692764,0.09372268617153168,0.09124141186475754,0.03620671480894089,0.134497731924057,0.3546387553215027,0.21065464615821838
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI","I was a ghost, I was alone 어두워진 앞길속에 (Hah) Given the throne, I didn't know how to believe (Hah) I was the queen that I'm meant to be (Ah) I lived two lives, tried to play both sides But I couldn't find my own place (Oh, oh) Called a problem child 'cause I got too wild But now that's how I'm getting paid, 끝없이 on stage I'm done hidin', now I'm shinin' Like I'm born to be We dreamin' hard, we came so far Now I believe We're goin' up, up, up It's our moment You know together we're glowin' Gonna be, gonna be golden Oh, up, up, up With our voices 영원히 깨질 수 없는 Gonna be, gonna be golden Oh, I'm done hidin', now I'm shinin' Like I'm born to be Oh, our time, no fears, no lies That's who we're born to be Waited so long to break these walls down To wake up and feel like me Put these patterns all in the past now And finally live like the girl they all see No more hiding, I'll be shining Like I'm born to be 'Cause we are hunters, voices strong And I know I believe We're goin' up, up, up It's our moment You know together we're glowing Gonna be, gonna be golden Oh, up, up, up With our voices 영원히 깨질 수 없는 Gonna be, gonna be golden Oh, I'm done hidin', now I'm shining Like I'm born to be Oh, our time, no fears, no lies That's who we're born to be You know we're gonna be, gonna be golden (Oh) We're gonna be, gonna be (Oh) Born to be, born to be glowin' (Oh) 밝게 빛나는 우리 You know that it's our time, no fears, no lies (Oh, oh) That's who we're born to be",2,2,2,6,2025,345,304,fear,0.3834403455257416,0.06315522640943527,0.013783559203147888,0.3834403455257416,0.02630254253745079,0.09952457249164581,0.20606140792369843,0.20773234963417053
What I Want,Morgan Wallen Featuring Tate McRae,"She said, ""You don't want this heart, boy, it's already broke"" Told me everything she touch just goes up in smoke Only stay a couple nights, then she gon' be gone I said, ""Baby, you should know that's what I want"" That's what I want, that's what I want That's what I want, that's what I want, that's what I want What I want Nah, you ain't gotta worry 'bout no trust issues with me I got 'em too, I got 'em too Nah, you ain't gotta worry 'bout no exes that's crazy I got 'em too, you know I do If you're in a hurry Nah, you ain't gonna hurt me tonight And it won't be the worst thing If this is all it is, and in the middle of a kiss She said, ""You don't want this heart, boy, it's already broke"" Told me everything she touch just goes up in smoke Only stay a couple nights, then she gon' be gone I said, ""Baby, you should know that's what I want"" That's what I want, that's what I want (That's what I want) That's what I want, that's what I want, that's what I want (That's what I want) That's what I want (Oh) There are no hard feelings if you only wanna act like lovers do For a night or two (Oh, oh yeah) And sometimes in the mornin', go back to bein' someone you never knew (Hey, yeah) You never knew Baby, don't you worry You ain't gonna hurt me tonight It won't be the worst thing If this is how it is (I said), then he (She) kissed me again And said, ""You don't want this heart, boy, it's already broke"" Told me everything she touch just goes up in smoke Only stay a couple nights then she gon' be gone I said, ""Baby, you should know that's what I want"" (What I want) She said, ""You don't want this heart, no, it can't be fixed"" (Ah, yeah) And I ain't ready to try on a night like this But if you still wanna stay, there ain't nothin' wrong (No, there's nothin' wrong) I said, ""Baby, you should know that's what I want"" That's what I want, that's what I want That's what I want, that's what I want, that's what I want (Ooh) That's what I want, hey, yeah, yeah, oh That's what I want, that's what I want, that's what I want (Ooh; Mm, yeah) That's what I want (Hey, yeah, uh) That's what I want, that's what I want",3,4,1,11,2025,433,428,anger,0.4516068398952484,0.4516068398952484,0.05923239886760712,0.2302607297897339,0.02114337682723999,0.12968021631240845,0.09169761836528778,0.016378795728087425
Daisies,Justin Bieber,"Throwin' petals like, ""Do you love me or not?"" Head is spinnin', and it don't know when to stop 'Cause you said, ""Forever,"" babe, did you mean it or not? Hold on, hold on You leave me on read, babe, but I still get the message Instead of a line, it's three dots, but I can connect them And if it ain't right, babe, you know I'll respect it But if you need time, just take your time Honey, I get it, I get it, I get it Way you got me all in my head Think I'd rather you in my bed Whatever it is, you know I can take it I'm countin' the days, how many days 'til I can see you again? Blowin' kisses like, ""Will you catch 'em or not?"" I'm Cupid with arrows, babe, I'm just shootin' my shot, mm-mm If I could get in, drop me a pin, hop in the— and come over Don't wanna be friends, just skin-to-skin, I wanna get closer and closer and closer, uh The way you got me all in my head Think I'd rather you in my bed Whatever it is, you know I can take it I'm countin' the days, how many days 'til I can see you again? You got me all, all, my love (All in my feelings, babe) And you got me all, I've been all in my feelings And you got me all, all weak in my knees every time (You got me all in my head, you got me all in my head, you got—) ‘Cause you got me all, all in my feelings (You got me all in my head, you got me all in my head, you got—) Every time The way you got me all in my head (You got me all in my head) Think I'd rather you in my bed Whatever it is, you know I can take it I'm countin' the days, how many days 'til I can see you again?",4,3,2,3,2025,341,336,neutral,0.43326103687286377,0.3241499066352844,0.11013802140951157,0.06987056136131287,0.01437456626445055,0.43326103687286377,0.03172353282570839,0.016482334583997726
Just In Case,Morgan Wallen,"I ain't sayin' that I always sleep alone I ain't sayin' that I ain't met no one else Done a little bit of midnight movin' on And I ain't sayin' when I do that it don't help Leave with someone, I don't know her name Pull her real close, but I leave some space And I could forget you, girl, for good Even though I should I never let my heart go all the way Every time I try, I just hit the brakes And there's always a couple tryna take your place But I never fall in love, baby, just in case You wake up wantin' me out of the blue You lay down needin' what I used to do Yeah, every now and then, I go get a taste But I never fall in love, baby, just in case Just in case I always take it to the edge, then I back it up They don't know I got a reason for actin' up I ain't felt a damn thing, baby, after us Yeah, I'm just hopin' you'll come back to us That's wishful thinkin', baby, honestly But I know you ain't forgotten me So I never let my heart go all the way Every time I try, I just hit the brakes And there's always a couple tryna take your place But I never fall in love, baby, just in case You wake up wantin' me out of the blue You lay down needin' what I used to do Yeah, every now and then, I go get a taste But I never fall in love, baby, just in case Just in case Leave with someone, I don't know her name Pull her real close, but I leave some space Yeah, I could have three words on my tongue But I won't ever say 'em 'Cause I never let my heart go all the way Every time I try, I just hit the brakes And there's always a couple tryna take your place But I never fall in love, baby, just in case You wake up wantin' me out of the blue You lay down needin' what I used to do Yeah, every now and then, I go get a taste But I never fall in love, baby, just in case Just in case",5,5,2,19,2025,391,386,sadness,0.4427954852581024,0.04018746688961983,0.021925369277596474,0.03854397311806679,0.04460962116718292,0.3911762237548828,0.4427954852581024,0.020761892199516296
Love Me Not,Ravyn Lenae,"See, right now, I need you, I'll meet you somewhere now You up now, I see you, I get you, take care now Slow down, be cool, I miss you, come here now It's yours now, keep it, I'll hold out until now I need you right now, once I leave you I'm strung out If I get you, I'm slowly breaking down And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go Soon as you leave me, we always lose connection It's gettin' messy, I fiend for your affection Don't loosen your grip got a hold on me Now, forever, let's get back together Lord, take it so far away I pray that, God, we don't break I want you to take me up and down And round and round again And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go You're gonna say that you're sorry at the end of the night Wake up in the morning, everything's alright At the end of the story, you're holdin' me tight I don't need to worry, am I out of my mind? And, oh, it's hard to see you, but I wish you were right here (I'm losing my mind) Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here",6,6,6,18,2024,501,496,sadness,0.6070813536643982,0.02189795859158039,0.034959930926561356,0.06619369983673096,0.016402404755353928,0.20643764734268188,0.6070813536643982,0.04702704772353172
Lose Control,Teddy Swims,"Something's got a hold of me lately No, I don’t know myself anymore Feels like the walls are all closin' in And the devil's knockin’ at my door, woah Out of my mind, how many times did I tell you I'm no good at bein' alone? Yeah, it's taken a toll on me, tryin' my best to keep From tearin' the skin off my bones, don't you know I lose control When you're not next to me I’m fallin’ apart right in front of you, can't you see? I lose control When you’re not next to me, mhm Yeah, you're breakin' my heart, baby You make a mess of me Problematic The problem is I want your body like a fiend, like a bad habit Bad habits hard to break when I'm with you Yeah, I know I can do it on my own But I want that real full-moon black magic and it takes two Problematic The problem is when I’m with you I'm an addict And I need some relief, my skin in your teeth Can't see the forest through the trees Got me down on my knees, darlin', please, oh I lose control When you're not next to me I'm fallin' apart right in front of you, can't you see? I lose control When you're not next to me (Mm-hmm) Yeah, you're breakin' my heart, baby You make a mess of me, yeah I lose control When you're not here with me, mm I'm fallin' apart right in front of you, can't you see? I lose control When you're not here with me, mhm Yeah, you're breakin' my heart, baby You make a mess of me",7,7,1,102,2023,283,279,fear,0.40759050846099854,0.0876835361123085,0.0739913061261177,0.40759050846099854,0.0086185522377491,0.07141542434692383,0.23312659561634064,0.1175740510225296
A Bar Song (Tipsy),Shaboozey,"My baby want a Birkin, she's been tellin' me all night long Gasoline and groceries, the list goes on and on This nine-to-five ain't workin', why the hell do I work so hard? I can't worry 'bout my problems, I can't take 'em when I'm gone, uh One, here comes the two to the three to the four Tell 'em ""Bring another round,"" we need plenty more Two-steppin' on the table, she don't need a dance floor Oh my, good Lord Someone pour me up a double shot of whiskey They know me and Jack Daniеl's got a history There's a party downtown near 5th Street Evеrybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy I've been Boozey since I left I ain't changin' for a check Tell my ma I ain't forget (Oh, Lord), I Woke up drunk at 10 a.m.​ We gon' do this shit again Tell your girl to bring a friend, oh, Lord One, here comes the two to the three to the four Tell 'em ""Bring another round,"" we need plenty more Two-steppin' on the table, she don't need a dance floor Oh my, good Lord Someone pour me up a double shot of whiskey (Double shot of whiskey) They know me and Jack Daniel's got a history (We go way back) There's a party downtown near 5th Street Everybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy (At the bar gettin' tipsy) Everybody at the bar gettin' tipsy One, here comes the two to the three to the four When it's last call and they kick us out the door It's gettin' kind of late, but the ladies want some more Oh my, good Lord (Tell 'em drinks on me) Someone pour me up a double shot of whiskey (Double shot of whiskey) They know me and Jack Daniel's got a history (Way back) There's a party downtown near 5th Street (Come on) Everybody at the bar gettin' tipsy (Woo-ooh) Someone pour me up a double shot of whiskey (Double shot of whiskey) They know me and Jack Daniel's got a history (It's Jack D) At the bottom of a bottle, don't miss me (Baby, don't miss me) Everybody at the bar gettin' tipsy (At the bar gettin' tipsy) Everybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy That's fuckin' messed up, bro, they kicked me out the bar",8,8,1,68,2024,416,410,fear,0.52613765001297,0.13839517533779144,0.04563461244106293,0.52613765001297,0.0134535301476717,0.15031951665878296,0.05799595266580582,0.06806352734565735
Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee","Pray for me now Pray for me now (Dies irae) Pray for me now (Illa) Pray for me now (Vos solve in) Pray for me now (Favilla) Pray for me now (Maledictus) Pray for me now (Erus) Pray for me now (In flamas) Pray for me now (Eternum) I'll be your idol Keeping you in check (Uh), keeping you obsessed (Uh) Play me on repeat, 끝없이 in your head Anytime it hurts (Uh), play another verse (Uh) I can be your sanctuary Know I'm the only one right now (Now) I will love you more when it all burns down More than power, more than gold (Yeah) Yeah, you gave me your heart, now I'm here for your soul I'm thе only one who'll love your sins Feel the way my voicе gets underneath your skin Listen 'cause I'm preachin' to the choir Can I get the mic a little higher? Gimme your desire I can be the star you rely on (You rely on) 내 황홀의 취해, you can't look away (Hey) Don't you know I'm here to save you? Now we runnin' wild Yeah, I'm all you need, I'ma be your idol Uh (Idol) Uh (Idol) Uh, 빛이나는 fame, 계속 외쳐, I'm your idol Thank you for the pain 'cause it got me going viral Uh, yeah, 낫지 않는 fever, makin' you a believer 나를 위해 넌 존재하는 idol Don't let it show, keep it all inside The pain and the shame, keep it outta sight Your obsession feeds our connection 이 순간 give me all your attention You know I'm the only one who'll love your sins Feel the way my voice gets underneath your skin Listen 'cause I'm preachin' to the choir Can I get the mic a little higher? Gimme your desire I can be the star you rely on (You rely on) 내 황홀의 취해, you can't look away (Yeah) Don't you know I'm here to save you? Now we runnin' wild Yeah, I'm all you need, I'ma be your idol Be your idol Living in your mind now Too late 'cause you're mine now I will make you free When you're all part of me (Listen 'cause I'm) Preaching to the choir (Now) Can I get the mic a little higher? Gimme your desire Watch me set your world on fire 내 황홀의 취해, you can't look away (Hey) No one is coming to save you Now we runnin' wild You're down on your knees, I'ma be your idol",9,12,9,6,2025,421,416,neutral,0.3575112223625183,0.08082952350378036,0.01171761006116867,0.33527353405952454,0.05728834122419357,0.3575112223625183,0.14771299064159393,0.009666738100349903
Die With A Smile,Lady Gaga & Bruno Mars,"(Ooh, ooh) I, I just woke up from a dream Where you and I had to say goodbye And I don't know what it all means But since I survived, I realized Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you (Ooh, ooh) Ooh, lost, lost in the words that we scream I don't even wanna do this anymore 'Cause you already know what you mean to me And our love's the only war worth fighting for Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you Right next to you Next to you Right next to you Oh-oh If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you If the world was ending I'd wanna be next to you (Ooh, ooh) I'd wanna be next to you",10,10,1,50,2024,347,292,sadness,0.5423165559768677,0.007704164832830429,0.00823577307164669,0.012718724086880684,0.17540067434310913,0.14156457781791687,0.5423165559768677,0.11205954849720001
